date_observed,streamfllow,Date_Prediction,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
01-01-1951,2919,01-01-1971,1072.691,1215.947,792.0828,1708.082,1157.302,6009.261,12804.94,3525.607,6714.374,4102.939,5528.977,8439.602,4130.464,6284.48,3930.809,2962.276,7955.792,1952.646,6454.376,2812.16,3560.075,4148.373,2513.625,4339.597,3015.443,0.339214
01-02-1951,2589,01-02-1971,518.5855,1078.936,473.2191,2540.601,932.8062,3625.216,8413.008,1946.322,5689.49,2682.245,3728.088,6467.075,2854.86,4922.889,3167.28,1169.29,4640.641,2413.654,2484.94,2204.219,2823.724,4032.584,2324.261,4491.809,2743.544,0.650394
01-03-1951,2091,01-03-1971,127.5433,1288.238,615.1998,1886.967,1094.855,2225.788,6481.719,1420.036,4368.088,2213.836,3284.396,4905.113,2367.268,4805.115,3396.285,932.5861,2919.156,452.0084,4455.641,1888.648,2067.934,3019.544,2251.04,3475.875,2234.773,0.739169
01-04-1951,1850,01-04-1971,209.2707,209.3326,61.52176,1724.238,588.4277,1643.006,4685.614,883.5504,4268.801,1797.469,3462.987,3436.11,1791.786,4543.831,2701.797,555.6257,1795.124,856.4415,1872.022,939.7736,2901.6,1858.312,1693.051,3775.002,1687.962,0.798366
01-05-1951,1957,01-05-1971,1408.405,769.6368,244.7428,1870.867,596.6379,2192.627,4094.266,797.1622,4116,1523.59,2575.069,2443.741,1272.658,2648.741,1817.68,1643.175,1680.564,875.8152,1533.197,1318.283,2347.684,1546.763,1830.061,2476.125,1545.117,1.212393
01-06-1951,4491,01-06-1971,1880.903,4879.8,278.3579,1745.44,1498.818,1832.496,4269.037,592.9227,3827.071,1470.433,3128.21,3822.542,840.3502,3517.707,3556.262,4142.643,5773.386,1417.795,6966.55,7228.726,3327.078,4114.682,1640.71,3716.47,3406.246,2.862535
01-07-1951,21305,01-07-1971,14837.92,21451.81,1601.465,13908.1,11739.84,3664.349,9608.353,533.6111,7502.577,3810.26,13711.42,26062.96,2102.156,8907.889,8382.067,23576.39,39775.18,3164.97,20228.19,18400.57,12578.16,23074.23,4072.009,12452.84,9124.482,6.549088858
01-08-1951,31333,01-08-1971,49913.61,87806.72,50490.62,43316,52394.59,19577.66,42510.04,7443.104,21805.17,20082.56,25704.01,68749.55,52383.42,20717.47,34787.64,36473.07,88200.91,65547.46,38402.64,47461.29,25224.64,59380.32,49185.78,24348.66,34868,4.947725842
01-09-1951,30134,01-09-1971,62790.8,132059,101253.1,51739.97,79899.62,37393.86,86037.66,38544.01,33488.2,43227.56,32600.52,53615.62,31287.3,26833.2,36394.15,50244.25,72398.88,38273.79,46765.53,56380.11,35030.75,49231.51,26954.8,27914.12,33357.23,1.983165445
01-10-1951,10768,01-10-1971,56079.36,64452.55,25291.35,63267.46,72303.44,35766.7,59227.33,30450,40492.1,48484.95,21879.31,33950.54,27434.92,23804.76,35487.28,26230.85,37059.69,27362.34,33509.83,42361.26,14181.51,18509.78,13662.02,19415.98,24879.22,0.732911114
01-11-1951,4580,01-11-1971,3997.241,6803.703,17980.72,18479.99,35756.68,17744.36,27615.45,20575.99,25061.84,32731.84,12346.69,15914,12883.12,13672.62,20480.16,13372.49,19667.82,11989.37,16620.16,22536.96,5045.391,6597.773,8449.269,6802.413,11233.17,0.256092821
01-12-1951,3268,01-12-1971,627.4673,1452.148,2756.948,1392.216,7081.957,8548.198,14053.89,9746.734,12458.7,16971.22,7353.103,10498.05,8674.817,8873.775,11548.44,6414.678,9362.658,6898.111,8320.577,12369.28,3828.479,4549.391,3796.512,4090.596,5925.932,0.223160508
01-01-1952,2309,01-01-1972,855.8989,1464.634,1414.168,1404.247,1993.202,4667.248,7895.867,5277.911,6843.375,8403.945,4598.763,6581.493,5661.898,5887.46,7584.921,2926.9,5447.993,3433.483,4449.544,6002.65,3491.364,3693.274,3454.557,3882.8,4469.613,0.410343155
01-02-1952,1685,01-02-1972,553.2859,1119.796,1593.297,1140.136,951.3668,3007.006,5531.854,3593.08,4606.229,4867.708,3158.912,4441.219,3831.2,4002.445,5138.664,1001.467,2952.301,1432.191,1914.276,3196.608,2956.81,3149.262,3088.691,3296.794,3738.02,0.666817253
01-03-1952,1411,01-03-1972,191.3465,625.3676,972.2767,565.4865,489.7074,1806.667,4126.848,2374.517,3285.563,3501.738,2629.582,3414.067,2987.243,3348.68,4090.855,470.662,1884.151,610.0676,1739.243,1062.359,2199.188,2212.725,2446.632,2702.167,3000.909,0.758850168
01-04-1952,1294,01-04-1972,0.6973131,170.2231,95.07537,220.1006,167.0683,826.967,3426.575,1501.085,2682.505,2240.175,1889.434,2325.282,2107.136,3046.332,2948.725,319.0533,1239.681,607.2179,1263.718,528.7217,1556.704,1822.635,2112.324,2599.838,1767.364,0.813344892
01-05-1952,1627,01-05-1972,376.7697,1317.06,507.5768,957.9971,389.7057,425.9649,3180.297,1245.938,2764.418,1525.812,2398.027,2334.445,2189.24,2072.651,1866.147,2006.559,2192.373,1933.933,1245.506,718.6302,1527.835,1748.717,2057.724,2301.135,1285.568,1.193160163
01-06-1952,3936,01-06-1972,3100.192,11066.99,1689.159,1471.859,1292.447,916.6106,5551.091,987.552,2344.975,1795.379,3547.587,8365.697,1759.605,3045.505,3546.27,4621.747,17859.51,2529.394,4282.019,4465.216,4868.764,7077.073,1854.687,3030.182,2640.259,2.62297844
01-07-1952,24815,01-07-1972,10411.19,54236.22,4798.082,14723.28,34808.32,3272.456,25575.88,1807.455,5522.059,6902.141,6434.845,34804.03,4259.572,7471.412,31809.1,11109.61,45883.12,6615.012,18196.03,44689.91,7706.035,35658.22,4965.539,10094.43,29659.79,5.602182327
